Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
A.Rodgers,1,9/13/20,1,1,36.286,GNB,@,MIN,W 43-34,*,32,44,72.73,364,4,0,127.5,0,0,8.27,10.09,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,76,97%,0,0%,0,0%
A.Rodgers,2,9/20/20,2,2,36.293,GNB,,DET,W 42-21,*,18,30,60,240,2,0,107.6,1,11,8,9.33,2,12,6,0,1,1,-6,-6,0,100.00%,-6,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%
A.Rodgers,3,9/27/20,3,3,36.3,GNB,@,NOR,W 37-30,*,21,32,65.63,283,3,0,124.9,1,12,8.84,10.72,2,12,6,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%
A.Rodgers,4,10/5/20,4,4,36.308,GNB,,ATL,W 30-16,*,27,33,81.82,327,4,0,147.5,1,12,9.91,12.33,1,5,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%
A.Rodgers,5,10/18/20,5,6,36.321,GNB,@,TAM,L 10-38,*,16,35,45.71,160,0,2,35.4,4,42,4.57,2,2,14,7,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%
A.Rodgers,6,10/25/20,6,7,36.328,GNB,@,HOU,W 35-20,*,23,34,67.65,283,4,0,132.4,0,0,8.32,10.68,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%
A.Rodgers,7,11/1/20,7,8,36.335,GNB,,MIN,L 22-28,*,27,41,65.85,291,3,0,110.9,1,0,7.1,8.56,2,9,4.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%
A.Rodgers,8,11/5/20,8,9,36.339,GNB,@,SFO,W 34-17,*,25,31,80.65,305,4,0,147.2,1,11,9.84,12.42,1,7,7,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%
A.Rodgers,9,11/15/20,9,10,36.349,GNB,,JAX,W 24-20,*,24,34,70.59,325,2,1,108.1,1,10,9.56,9.41,3,4,1.33,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%
A.Rodgers,10,11/22/20,10,11,36.356,GNB,@,IND,L 31-34,*,27,38,71.05,311,3,1,110.7,1,10,8.18,8.58,3,13,4.33,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,-1,0,60,100%,0,0%,0,0%
A.Rodgers,11,11/29/20,11,12,36.363,GNB,,CHI,W 41-25,*,21,29,72.41,211,4,0,132.3,0,0,7.28,10.03,2,12,6,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,69,97%,0,0%,0,0%
A.Rodgers,12,12/6/20,12,13,37.004,GNB,,PHI,W 30-16,*,25,34,73.53,295,3,0,128.9,2,7,8.68,10.44,4,-3,-0.75,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,-6,0,61,100%,0,0%,0,0%
A.Rodgers,13,12/13/20,13,14,37.011,GNB,@,DET,W 31-24,*,26,33,78.79,290,3,0,133.6,0,0,8.79,10.61,6,13,2.17,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%
A.Rodgers,14,12/19/20,14,15,37.017,GNB,,CAR,W 24-16,*,20,29,68.97,143,1,0,91.6,5,47,4.93,5.62,5,26,5.2,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%
A.Rodgers,15,12/27/20,15,16,37.025,GNB,,TEN,W 40-14,*,21,25,84,231,4,1,128.1,1,17,9.24,10.64,3,19,6.33,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-6,0,63,95%,0,0%,0,0%
A.Rodgers,16,1/3/21,16,17,37.032,GNB,@,CHI,W 35-16,*,19,24,79.17,240,4,0,147.9,1,3,10,13.33,1,4,4,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,46,100%,0,0%,0,0%