Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
M.Stafford,1,9/13/20,1,1,32.219,DET,,CHI,L 23-27,*,24,42,57.14,297,1,1,77.2,1,9,7.07,6.48,5,23,4.6,0,0,0,0,0,0,0,78,100%,0,0%,0,0%
M.Stafford,2,9/20/20,2,2,32.226,DET,@,GNB,L 21-42,*,20,33,60.61,244,2,1,91,4,26,7.39,7.24,1,4,4,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
M.Stafford,3,9/27/20,3,3,32.233,DET,@,ARI,W 26-23,*,22,31,70.97,270,2,0,119,4,38,8.71,10,1,-3,-3,0,0,0,0,0,0,0,66,100%,0,0%,0,0%
M.Stafford,4,10/4/20,4,4,32.24,DET,,NOR,L 29-35,*,17,31,54.84,206,3,1,94.3,3,15,6.65,7.13,3,21,7,0,0,0,0,0,0,0,61,100%,0,0%,0,0%
M.Stafford,5,10/18/20,5,6,32.254,DET,@,JAX,W 34-16,*,19,31,61.29,223,1,1,80.4,0,0,7.19,6.39,5,14,2.8,0,0,0,0,0,0,0,77,100%,0,0%,0,0%
M.Stafford,6,10/25/20,6,7,32.261,DET,@,ATL,W 23-22,*,25,36,69.44,340,1,0,108.6,2,18,9.44,10,1,8,8,0,0,0,0,0,0,0,61,100%,0,0%,0,0%
M.Stafford,7,11/1/20,7,8,32.268,DET,,IND,L 21-41,*,24,42,57.14,336,3,1,96.9,5,39,8,8.36,1,10,10,0,1,1,0,0,0,0,61,100%,0,0%,0,0%
M.Stafford,8,11/8/20,8,9,32.275,DET,@,MIN,L 20-34,*,23,32,71.88,211,1,2,73.8,2,13,6.59,4.41,0,0,,0,0,0,0,0,0,0,60,80%,0,0%,0,0%
M.Stafford,9,11/15/20,9,10,32.282,DET,,WAS,W 30-27,*,24,33,72.73,276,3,0,127.8,1,9,8.36,10.18,0,0,,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
M.Stafford,10,11/22/20,10,11,32.289,DET,@,CAR,L 0-20,*,18,33,54.55,178,0,0,70,5,33,5.39,5.39,4,5,1.25,0,0,0,0,0,0,0,56,100%,0,0%,0,0%
M.Stafford,11,11/26/20,11,12,32.293,DET,,HOU,L 25-41,*,28,42,66.67,295,1,1,84.9,4,16,7.02,6.43,1,3,3,0,1,0,0,0,0,0,82,100%,0,0%,0,0%
M.Stafford,12,12/6/20,12,13,32.303,DET,@,CHI,W 34-30,*,27,42,64.29,402,3,1,109.4,2,2,9.57,9.93,2,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%
M.Stafford,13,12/13/20,13,14,32.31,DET,,GNB,L 24-31,*,24,34,70.59,244,1,0,100.6,4,31,7.18,7.76,1,6,6,0,0,0,0,0,0,0,60,90%,0,0%,0,0%
M.Stafford,14,12/20/20,14,15,32.317,DET,@,TEN,L 25-46,*,22,32,68.75,252,1,0,102.6,0,0,7.88,8.5,2,12,6,0,0,0,0,1,-1,0,56,86%,0,0%,0,0%
M.Stafford,15,12/26/20,15,16,32.323,DET,,TAM,L 7-47,*,2,3,66.67,17,0,0,81.2,0,0,5.67,5.67,0,0,,0,0,0,0,0,0,0,4,8%,0,0%,0,0%
M.Stafford,16,1/3/21,16,17,32.331,DET,,MIN,L 35-37,*,20,31,64.52,293,3,1,114,1,5,9.45,9.94,2,9,4.5,0,0,0,0,0,0,0,58,100%,0,0%,0,0%