Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
D.Carr,1,9/13/20,1,1,29.169,LVR,@,CAR,W 34-30,*,22,30,73.33,239,1,0,107.5,0,0,7.97,8.63,0,0,,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
D.Carr,2,9/21/20,2,2,29.177,LVR,,NOR,W 34-24,*,28,38,73.68,284,3,0,120.9,3,23,7.47,9.05,3,3,1,0,0,0,2,1,0,0,-6,0,80,100%,0,0%,0,0%
D.Carr,3,9/27/20,3,3,29.183,LVR,@,NWE,L 20-36,*,24,32,75,261,2,0,119.4,2,12,8.16,9.41,2,10,5,0,0,0,2,2,0,0,0,0,59,100%,0,0%,0,0%
D.Carr,4,10/4/20,4,4,29.19,LVR,,BUF,L 23-30,*,32,44,72.73,311,2,0,107.3,2,14,7.07,7.98,4,20,5,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%
D.Carr,5,10/11/20,5,5,29.197,LVR,@,KAN,W 40-32,*,22,31,70.97,347,3,1,126.7,1,1,11.19,11.68,4,1,0.25,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%
D.Carr,6,10/25/20,6,7,29.211,LVR,,TAM,L 20-45,*,24,36,66.67,284,2,1,97.5,3,13,7.89,7.75,2,19,9.5,0,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%
D.Carr,7,11/1/20,7,8,29.218,LVR,@,CLE,W 16-6,*,15,24,62.5,111,1,0,87.3,2,11,4.63,5.46,6,41,6.83,0,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%
D.Carr,8,11/8/20,8,9,29.225,LVR,@,LAC,W 31-26,*,13,23,56.52,165,2,0,108.1,1,5,7.17,8.91,2,14,7,0,0,0,1,1,0,0,0,0,51,100%,0,0%,0,0%
D.Carr,9,11/15/20,9,10,29.232,LVR,,DEN,W 37-12,*,16,25,64,154,0,0,81.1,0,0,6.16,6.16,4,10,2.5,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%
D.Carr,10,11/22/20,10,11,29.239,LVR,,KAN,L 31-35,*,23,31,74.19,275,3,1,119.7,0,0,8.87,9.35,3,6,2,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
D.Carr,11,11/29/20,11,12,29.246,LVR,@,ATL,L 6-43,*,22,34,64.71,215,0,1,70.1,3,21,6.32,5,0,0,,0,0,0,3,3,0,0,0,0,52,83%,0,0%,0,0%
D.Carr,12,12/6/20,12,13,29.253,LVR,@,NYJ,W 31-28,*,28,47,59.57,381,3,1,97.9,2,13,8.11,8.43,2,5,2.5,1,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%
D.Carr,13,12/13/20,13,14,29.26,LVR,,IND,L 27-44,*,31,45,68.89,316,2,2,85,0,0,7.02,5.91,3,12,4,1,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%
D.Carr,14,12/17/20,14,15,29.264,LVR,,LAC,L 27-30,*,3,5,60,53,0,0,96.2,1,3,10.6,10.6,0,0,,0,0,0,0,0,0,0,0,0,11,14%,0,0%,0,0%
D.Carr,15,12/26/20,15,16,29.273,LVR,,MIA,L 25-26,*,21,34,61.76,336,1,0,104.5,3,22,9.88,10.47,2,-2,-1,1,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%
D.Carr,16,1/3/21,16,17,29.281,LVR,@,DEN,W 32-31,*,24,38,63.16,371,2,2,91,3,12,9.76,8.45,2,1,0.5,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%