Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
R.Tannehill,1,9/14/20,1,1,32.049,TEN,@,DEN,W 16-14,*,29,43,67.44,249,2,0,97.9,1,2,5.79,6.72,3,14,4.67,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%
R.Tannehill,2,9/20/20,2,2,32.055,TEN,,JAX,W 33-30,*,18,24,75,239,4,0,145.7,1,8,9.96,13.29,4,12,3,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%
R.Tannehill,3,9/27/20,3,3,32.062,TEN,@,MIN,W 31-30,*,23,37,62.16,321,0,1,78.8,1,11,8.68,7.46,4,9,2.25,0,1,1,0,0,0,100.00%,0,,0,0,2,0,0,1,-19,0,75,100%,0,0%,0,0%
R.Tannehill,4,10/13/20,4,5,32.078,TEN,,BUF,W 42-16,*,21,28,75,195,3,0,129.3,0,0,6.96,9.11,4,42,10.5,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,66,100%,0,0%,0,0%
R.Tannehill,5,10/18/20,5,6,32.083,TEN,,HOU,W 42-36,*,30,41,73.17,366,4,1,122.6,2,22,8.93,9.78,0,0,,0,0,0,0,,0,0.00%,,,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%
R.Tannehill,6,10/25/20,6,7,32.09,TEN,,PIT,L 24-27,*,18,30,60,220,2,0,104.9,2,10,7.33,8.67,2,5,2.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%
R.Tannehill,7,11/1/20,7,8,32.097,TEN,@,CIN,L 20-31,*,18,30,60,233,2,1,92.8,1,10,7.77,7.6,2,20,10,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%
R.Tannehill,8,11/8/20,8,9,32.104,TEN,,CHI,W 24-17,*,10,21,47.62,158,2,0,104.9,3,22,7.52,9.43,3,3,1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%
R.Tannehill,9,11/12/20,9,10,32.108,TEN,,IND,L 17-34,*,15,27,55.56,147,1,0,83.4,1,10,5.44,6.19,2,9,4.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,59,91%,0,0%,0,0%
R.Tannehill,10,11/22/20,10,11,32.118,TEN,@,BAL,W 30-24,*,22,31,70.97,259,2,1,104.1,2,16,8.35,8.19,4,35,8.75,0,0,0,0,,0,0.00%,,1,0,2,2,0,0,1,0,0,70,100%,0,0%,0,0%
R.Tannehill,11,11/29/20,11,12,32.125,TEN,@,IND,W 45-26,*,13,22,59.09,221,1,0,108.3,1,1,10.05,10.95,2,3,1.5,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,69,96%,0,0%,0,0%
R.Tannehill,12,12/6/20,12,13,32.132,TEN,,CLE,L 35-41,*,29,45,64.44,389,3,1,104.8,3,20,8.64,8.98,0,0,,0,0,0,0,,0,0.00%,,1,0,2,0,0,0,0,0,0,73,100%,0,0%,0,0%
R.Tannehill,13,12/13/20,13,14,32.139,TEN,@,JAX,W 31-10,*,19,24,79.17,212,2,0,131.2,1,7,8.83,10.5,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%
R.Tannehill,14,12/20/20,14,15,32.146,TEN,,DET,W 46-25,*,21,27,77.78,273,3,0,145.8,1,5,10.11,12.33,3,21,7,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,65,96%,0,0%,0,0%
R.Tannehill,15,12/27/20,15,16,32.153,TEN,@,GNB,L 14-40,*,11,24,45.83,121,1,2,40.5,2,17,5.04,2.13,3,55,18.33,1,0,0,0,,0,0.00%,,,1,6,1,0,0,1,0,0,52,95%,0,0%,0,0%
R.Tannehill,16,1/3/21,16,17,32.16,TEN,@,HOU,W 41-38,*,18,27,66.67,216,1,0,103.3,2,12,8,8.74,7,38,5.43,2,0,0,0,,0,0.00%,,,2,12,0,0,0,0,0,0,71,100%,0,0%,0,0%